nces_lea_id,district_name,state,county_primary,operating_schools_count,regular_schools_count,enrollment_total,enrollment_pk,enrollment_k12,enrollment_kg,enrollment_elem,enrollment_middle,enrollment_high,enrollment_ungraded,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_reported_fte,teachers_k12_fte,teachers_sum_diff_reported,paraprofessionals_fte,instructional_coordinators_fte,counselors_fte,psychologists_fte,student_support_staff_fte,librarians_fte,school_administrators_fte,school_admin_support_fte,lea_administrators_fte,lea_admin_support_fte,other_support_staff_fte,total_staff_fte,idea_students,sped_teacher_fte,sped_paraprofessional_fte,english_learner_students,title3_teacher_count,idea_students_per_sped_teacher_fte,students_per_teacher_fte_k12,students_per_teacher_para_fte_k12,teachers_k12_per_1000,paraprofessionals_per_1000,counselors_per_1000,psychologists_per_1000,student_support_per_1000,coordinators_per_1000,school_administrators_per_1000,school_year
2900590,FRONTIER SCHOOLS,MO,Jackson County,5,5,1587,50,1537,103,492,381,561,0,3.0,6.85,47.38,108.27,0.0,165.5,162.5,0.0,22.0,3.8,1.0,0.0,1.0,1.7,13.0,0.0,2.0,0.0,0.0,210.0,,,,,,,9.46,8.33,105.73,14.31,0.65,0.0,0.65,2.47,8.46,2024-2025
2900593,DELASALLE CHARTER SCHOOL,MO,Jackson County,2,2,220,0,220,0,0,1,219,0,0.0,0.0,0.0,13.0,0.0,13.0,13.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,8.0,3.0,36.0,,,,,,,16.92,15.71,59.09,4.55,9.09,0.0,0.0,13.64,13.64,2024-2025
2900597,EWING MARION KAUFFMAN SCHOOL,MO,Jackson County,2,2,961,0,961,0,119,440,402,0,0.0,0.0,0.0,97.0,0.0,97.0,97.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,115.0,,,,,,,9.91,9.91,100.94,0.0,0.0,0.0,4.16,9.37,4.16,2024-2025
2900601,HOPE LEADERSHIP ACADEMY,MO,Jackson County,1,1,108,0,108,20,88,0,0,0,0.0,1.14,12.21,0.0,0.0,13.35,13.35,0.0,0.65,2.0,0.0,0.0,2.5,0.0,1.0,0.0,0.0,2.0,1.0,22.5,,,,,,,8.09,7.71,123.61,6.02,0.0,0.0,23.15,18.52,9.26,2024-2025
2900603,CROSSROADS CHARTER SCHOOLS,MO,Jackson County,3,3,1003,16,987,73,439,198,277,0,0.0,6.05,47.95,38.5,0.0,92.5,92.5,0.0,6.0,2.0,2.5,0.0,15.0,0.0,9.0,0.0,1.0,15.0,0.0,143.0,,,,,,,10.67,10.02,93.72,6.08,2.53,0.0,15.2,2.03,9.12,2024-2025
2900604,ACADEMY FOR INTEGRATED ARTS,MO,Jackson County,1,1,244,18,226,38,171,17,0,0,1.0,3.0,22.0,0.0,0.0,26.0,25.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,38.0,,,,,,,9.04,7.79,110.62,17.7,0.0,0.0,13.27,4.42,13.27,2024-2025
2900612,CITIZENS OF THE WORLD CHARTER,MO,Jackson County,2,2,388,22,366,51,221,94,0,0,0.0,3.94,15.68,10.39,0.0,30.01,30.01,0.0,6.0,1.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,8.0,5.0,58.01,,,,,,,12.2,10.16,81.99,16.39,5.46,0.0,8.2,2.73,5.46,2024-2025
2900615,KANSAS CITY GIRLS PREP ACADEMY,MO,Jackson County,1,1,111,0,111,0,8,103,0,0,0.0,0.0,0.0,24.99,0.0,24.99,24.99,0.0,1.0,3.0,1.0,0.0,4.16,0.0,3.0,0.0,1.0,0.0,0.0,38.15,,,,,,,4.44,4.27,225.14,9.01,9.01,0.0,37.48,27.03,27.03,2024-2025
2903200,ARCHIE R-V,MO,Cass County,2,2,569,53,516,39,199,115,163,0,2.38,2.2,15.12,25.42,0.0,45.12,42.74,-0.0,13.47,1.68,1.0,0.0,1.49,0.88,3.0,0.0,1.0,4.5,6.5,78.64,,,,,,,12.07,9.18,82.83,26.1,1.94,0.0,2.89,3.26,5.81,2024-2025
2904620,BELTON 124,MO,Cass County,8,8,4230,228,4002,274,1548,922,1258,0,15.63,16.47,133.68,140.25,0.0,306.03,290.4,0.0,84.41,9.45,12.0,0.0,23.39,7.0,17.0,0.0,5.0,42.0,63.0,569.28,,,,,,,13.78,10.68,72.56,21.09,3.0,0.0,5.84,2.36,4.25,2024-2025
