school_year,crdc_wave,nces_school_id,nces_lea_id,school_name,district_name,state,county_name,county_fips,locale_group,school_level,school_type,operational_status,is_operating,is_charter,is_virtual,school_ptr,enrollment_k12,classroom_teacher_fte,course_code,course_name,subject_area,course_level,num_classes,num_enrolled,num_certified,mean_class_size,certified_share,allocation_wedge
2013-2014,2013-14,201014001625,2010140,INDIAN CREEK ELEM,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,14.15,467.0,33.0,alg1,Algebra I,Math,Foundation Core,,,,,,
2013-2014,2013-14,201014001625,2010140,INDIAN CREEK ELEM,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,14.15,467.0,33.0,geom,Geometry,Math,Foundation Core,,,,,,
2013-2014,2013-14,201014001625,2010140,INDIAN CREEK ELEM,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,14.15,467.0,33.0,alg2,Algebra II,Math,Foundation Core,,,,,,
2013-2014,2013-14,201014001625,2010140,INDIAN CREEK ELEM,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,14.15,467.0,33.0,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,201014001625,2010140,INDIAN CREEK ELEM,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,14.15,467.0,33.0,calc,Calculus,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,201014001625,2010140,INDIAN CREEK ELEM,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,14.15,467.0,33.0,bio,Biology,Science,Foundation Core,,,,,,
2013-2014,2013-14,201014001625,2010140,INDIAN CREEK ELEM,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,14.15,467.0,33.0,chem,Chemistry,Science,Foundation Core,,,,,,
2013-2014,2013-14,201014001625,2010140,INDIAN CREEK ELEM,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,14.15,467.0,33.0,phys,Physics,Science,Advanced / Specialized,,,,,,
2013-2014,2013-14,292607001973,2926070,RAYTOWN EDUCATION CTR.,RAYTOWN C-2,MO,Jackson,29095,Suburb,Other,Alternative,1,True,False,False,,0.0,18.0,alg1,Algebra I,Math,Foundation Core,2.0,26.0,,13.0,,
2013-2014,2013-14,292607001973,2926070,RAYTOWN EDUCATION CTR.,RAYTOWN C-2,MO,Jackson,29095,Suburb,Other,Alternative,1,True,False,False,,0.0,18.0,geom,Geometry,Math,Foundation Core,,14.0,,,,
2013-2014,2013-14,292607001973,2926070,RAYTOWN EDUCATION CTR.,RAYTOWN C-2,MO,Jackson,29095,Suburb,Other,Alternative,1,True,False,False,,0.0,18.0,alg2,Algebra II,Math,Foundation Core,1.0,8.0,,8.0,,
2013-2014,2013-14,292607001973,2926070,RAYTOWN EDUCATION CTR.,RAYTOWN C-2,MO,Jackson,29095,Suburb,Other,Alternative,1,True,False,False,,0.0,18.0,advm,Advanced Mathematics,Math,Advanced / Specialized,0.0,,,,,
