SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,TEACHERS,TOTAL_INDICATOR,DMS_FLAG
2024-2025,20,KANSAS,KS,Countryside Elementary,01,,KS-D0233,2010140,KS-D0233-0859,201014001669,2001669,29.70,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Heritage Elementary,01,,KS-D0233,2010140,KS-D0233-0875,201014001670,2001670,25.70,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Frontier Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0847,201014001676,2001676,50.45,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Green Springs Elem,01,,KS-D0233,2010140,KS-D0233-2781,201014001703,2001703,26.80,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Mahaffie Elem,01,,KS-D0233,2010140,KS-D0233-2782,201014001704,2001704,31.20,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Pleasant Ridge Elem,01,,KS-D0233,2010140,KS-D0233-2783,201014001705,2001705,21.90,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Arbor Creek Elementary,01,,KS-D0233,2010140,KS-D0233-9302,201014001718,2001718,26.40,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Manchester Park Elementary,01,,KS-D0233,2010140,KS-D0233-9304,201014001759,2001759,38.40,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Clearwater Creek Elementary,01,,KS-D0233,2010140,KS-D0233-9305,201014001760,2001760,31.90,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Prairie Trail Middle School,01,,KS-D0233,2010140,KS-D0233-9306,201014001761,2001761,50.49,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Ravenwood Elementary,01,,KS-D0233,2010140,KS-D0233-9307,201014001781,2001781,30.00,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Olathe Northwest High School,01,,KS-D0233,2010140,KS-D0233-0845,201014001793,2001793,125.06,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Madison Place Elementary,01,,KS-D0233,2010140,KS-D0233-2789,201014001882,2001882,26.60,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Woodland Elem,01,,KS-D0233,2010140,KS-D0233-2790,201014001924,2001924,24.60,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Forest View Elem,01,,KS-D0233,2010140,KS-D0233-9311,201014001929,2001929,27.90,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Mission Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0913,201014001971,2001971,49.97,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Millbrooke Elementary,01,,KS-D0233,2010140,KS-D0233-0934,201014002077,2002077,27.80,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Olathe West High School,01,,KS-D0233,2010140,KS-D0233-0939,201014002088,2002088,107.84,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Summit Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0950,201014002102,2002102,46.39,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Canyon Creek Elementary,01,,KS-D0233,2010140,KS-D0233-0953,201014002110,2002110,29.50,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Step Up Virtual,01,,KS-D0233,2010140,KS-D0233-1379,201014002179,2002179,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Trojan Elem,01,,KS-D0367,2010260,KS-D0367-4662,201026000771,2000771,29.00,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Swenson Early Childhood Education Center,01,,KS-D0367,2010260,KS-D0367-4664,201026000772,2000772,12.99,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Osawatomie Middle School,01,,KS-D0367,2010260,KS-D0367-4665,201026000773,2000773,15.44,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Osawatomie High,01,,KS-D0367,2010260,KS-D0367-4666,201026000774,2000774,27.21,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Osawatomie Virtual School,01,,KS-D0367,2010260,KS-D0367-4671,201026002145,2002145,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Paola Middle,01,,KS-D0368,2010500,KS-D0368-4694,201050000776,2000776,31.53,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Paola High,01,,KS-D0368,2010500,KS-D0368-4700,201050000779,2000779,39.99,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Sunflower Elem,01,,KS-D0368,2010500,KS-D0368-4690,201050001627,2001627,28.96,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Cottonwood Elem,01,,KS-D0368,2010500,KS-D0368-4701,201050001726,2001726,27.77,Education Unit Total,Reported
