dimension,period,start_year,end_year,enrollment_start,enrollment_end,enrollment_change_abs,enrollment_change_pct,teacher_fte_start,teacher_fte_end,teacher_fte_change_abs,teacher_fte_change_pct,ratio_start,ratio_end,ratio_change_abs,ratio_change_pct,para_fte_start,para_fte_end,para_fte_change_abs,para_fte_change_pct,combined_ratio_start,combined_ratio_end,combined_ratio_change_abs,combined_ratio_change_pct,accounting_decomposition
Distance_Outer_Over_20mi,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,78611,78437,-174,-0.22,5650.87,5815.05,164.18,2.91,13.91,13.49,-0.42,-3.04,,,,,,,,,Staffing Expansion
Balanced_Panel_Regular,Full_Decade_2014_to_2024,2014-2015,2024-2025,317094,304436,-12658,-3.99,20498.34,21764.86,1266.52,6.18,15.47,13.99,-1.48,-9.58,,,,,,,,,Joint Staffing Expansion & Enrollment Contraction
Balanced_Panel_Regular,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,317094,318806,1712,0.54,20498.34,21353.0,854.66,4.17,15.47,14.93,-0.54,-3.48,,,,,,,,,Staffing Expansion
Balanced_Panel_Regular,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,318806,307440,-11366,-3.57,21353.0,21091.61,-261.39,-1.22,14.93,14.58,-0.35,-2.37,,,,,,,,,Enrollment Contraction
Balanced_Panel_Regular,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,307440,304436,-3004,-0.98,21091.61,21764.86,673.25,3.19,14.58,13.99,-0.59,-4.04,,,,,,,,,Staffing Expansion
Balanced_Panel_City_Fixed,Full_Decade_2014_to_2024,2014-2015,2024-2025,116761,116566,-195,-0.17,7650.87,8419.68,768.81,10.05,15.26,13.84,-1.42,-9.28,,,,,,,,,Staffing Expansion
Balanced_Panel_City_Fixed,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,116761,120211,3450,2.95,7650.87,8243.74,592.87,7.75,15.26,14.58,-0.68,-4.45,,,,,,,,,Staffing Expansion
Balanced_Panel_City_Fixed,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,120211,115097,-5114,-4.25,8243.74,8032.35,-211.39,-2.56,14.58,14.33,-0.25,-1.73,,,,,,,,,Mixed
Balanced_Panel_City_Fixed,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,115097,116566,1469,1.28,8032.35,8419.68,387.33,4.82,14.33,13.84,-0.48,-3.38,,,,,,,,,Staffing Expansion
Balanced_Panel_Suburb_Fixed,Full_Decade_2014_to_2024,2014-2015,2024-2025,132576,124354,-8222,-6.2,8360.63,8776.49,415.86,4.97,15.86,14.17,-1.69,-10.65,,,,,,,,,Joint Staffing Expansion & Enrollment Contraction
Balanced_Panel_Suburb_Fixed,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,132576,131287,-1289,-0.97,8360.63,8625.05,264.42,3.16,15.86,15.22,-0.64,-4.01,,,,,,,,,Staffing Expansion
Balanced_Panel_Suburb_Fixed,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,131287,126990,-4297,-3.27,8625.05,8518.85,-106.2,-1.23,15.22,14.91,-0.31,-2.07,,,,,,,,,Enrollment Contraction
Balanced_Panel_Suburb_Fixed,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,126990,124354,-2636,-2.08,8518.85,8776.49,257.64,3.02,14.91,14.17,-0.74,-4.95,,,,,,,,,Joint Staffing Expansion & Enrollment Contraction
Balanced_Panel_Town_Fixed,Full_Decade_2014_to_2024,2014-2015,2024-2025,31068,26752,-4316,-13.89,2008.71,1912.39,-96.32,-4.8,15.47,13.99,-1.48,-9.56,,,,,,,,,Enrollment Contraction
Balanced_Panel_Town_Fixed,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,31068,29173,-1895,-6.1,2008.71,1935.69,-73.02,-3.64,15.47,15.07,-0.4,-2.56,,,,,,,,,Mixed
Balanced_Panel_Town_Fixed,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,29173,28423,-750,-2.57,1935.69,1980.19,44.5,2.3,15.07,14.35,-0.72,-4.76,,,,,,,,,Joint Staffing Expansion & Enrollment Contraction
Balanced_Panel_Town_Fixed,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,28423,26752,-1671,-5.88,1980.19,1912.39,-67.8,-3.42,14.35,13.99,-0.36,-2.54,,,,,,,,,Mixed
Balanced_Panel_Rural_Fixed,Full_Decade_2014_to_2024,2014-2015,2024-2025,36689,36764,75,0.2,2478.13,2656.3,178.17,7.19,14.81,13.84,-0.96,-6.52,,,,,,,,,Staffing Expansion
Balanced_Panel_Rural_Fixed,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,36689,38135,1446,3.94,2478.13,2548.52,70.39,2.84,14.81,14.96,0.16,1.07,,,,,,,,,Staffing Outpaced Enrollment Growth
Balanced_Panel_Rural_Fixed,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,38135,36930,-1205,-3.16,2548.52,2560.22,11.7,0.46,14.96,14.42,-0.54,-3.6,,,,,,,,,Enrollment Contraction
Balanced_Panel_Rural_Fixed,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,36930,36764,-166,-0.45,2560.22,2656.3,96.08,3.75,14.42,13.84,-0.58,-4.05,,,,,,,,,Staffing Expansion
